,Clear Completion,Clear Progress,Clear Rules,Steps to Completion,Distance Traveled,Average Distance Per Step,Time Spent,Buttons Pushed,Paths-Based Distance,Average Path Length
0,1,0,0,28147,22373.65805,0.794886064,7.8808,8,21475.39102,8.801389761
1,1,1,0,16743,22103.2041,1.320145978,4.666233333,6,20318.96454,34.14952023
2,1,1,1,4197,5893,1.404098165,1.166366667,6,5719.995287,40.28165695
3,1,0,1,13951,16192.7229,1.160685463,4.092233333,8,15662.21403,23.03266769
4,0,0,0,26972,19517.08313,0.723605336,7.553233333,6,19238.18454,5.020403064
5,0,1,0,22785,29073.95429,1.276012916,7.383766667,8,27254.61431,40.08031516
6,0,0,0,12435,9279.298341,0.746224233,3.666383333,6,9133.368792,4.918346145
7,1,0,1,12585,15581.20209,1.238077242,3.4984,7,14993.56594,23.79931102
8,0,0,0,2817,2863,1.016329428,0.995333333,3,2363.850725,17.77331372
9,1,1,0,6452,4364,0.676379417,1.832633333,5,4232.299301,9.707108489
10,1,0,1,4087,3568,0.873011989,1.222816667,4,3516.944089,8.159963083
11,1,0,0,11936,9437.118249,0.790643285,3.576533333,6,9296.471076,4.885166093
12,0,0,0,4177,6132.722898,1.468212329,1.166316667,4,5878.172868,35.62529011
13,1,0,1,9842,10883.5953,1.10583167,2.879333333,7,10476.53773,10.47653773
14,0,0,1,5394,6059.244152,1.123330395,1.499283333,4,5664.646224,34.966952
15,1,1,0,16428,21981.10944,1.338027115,4.666333333,7,21059.21461,31.85962877
16,0,0,0,27304,37959.20473,1.390243361,7.901133333,8,34886.14865,36.95566594
17,0,1,0,20753,29504.27462,1.421687208,5.9488,8,26967.26926,48.24198436
18,0,1,0,6562,8629.386542,1.315054334,2.09465,6,7932.172756,51.5076153
19,1,1,1,594,174,0.292929293,0.166383333,0,169,4.225
20,0,1,1,9569,6567.946839,0.686377557,2.666283333,2,6483.811207,5.187048966
21,1,1,1,13855,15659.82952,1.130265573,4.360333333,8,14840.83656,30.16430194
22,1,0,1,22102,15268.86596,0.690836393,6.166166667,6,14785.64045,4.698328708
23,0,0,1,2993,2367,0.790845306,0.8329,3,2315.305755,6.04518474
24,0,1,1,7761,6053.577102,0.779999627,2.166033333,4,5974.378739,5.088908637
25,0,1,1,24952,32669.01659,1.309274471,7.200033333,8,29987.36479,23.91336905
26,0,1,0,38406,27775.30555,0.723202248,11.39758333,8,27413.44447,5.358374604
27,1,1,0,8198,9935,1.211880947,2.332766667,6,9617.520703,55.91581804
28,0,0,1,13136,18406.10634,1.401195671,3.732733333,6,17003.22868,31.25593507
29,1,1,1,11311,15457.80225,1.366616767,3.22515,8,14260.67702,48.50570415
30,1,0,0,14968,6035.577102,0.403232035,5.767883333,4,5896.493229,4.578022693
31,1,1,1,28844,24860.94328,0.86191039,8.292866667,7,24016.48743,12.18492513
32,0,1,1,17796,24495.89129,1.37648299,5.373416667,8,23095.22479,38.23712714
33,1,0,0,6581,7547,1.146786203,1.832733333,7,7232.7002,54.79318333
34,0,1,0,36595,27536.57494,0.752468232,10.76516667,7,27165.15446,5.031515922
35,0,0,1,32950,38166.2851,1.158309108,9.240783333,8,36681.60283,16.33924402
36,0,0,1,21577,16946.91323,0.785415638,6.090383333,8,16736.65668,4.997508713
37,1,0,1,16122,11947,0.741037092,5.4314,7,11770.68174,4.606920448
38,0,1,0,21467,32426.70198,1.510537196,6.122083333,8,29468.1442,51.88053557
39,0,1,0,9568,11727.67395,1.225718431,2.743833333,7,10927.07901,24.17495356
40,0,1,1,13049,9191,0.704345161,3.760766667,8,9060.015888,4.636650915
41,1,0,0,9590,12437.7459,1.29694952,2.666033333,7,11864.21293,27.08724414
42,1,1,1,1178,1133,0.96179966,0.33295,0,962.8488332,23.48411788
43,0,0,1,30618,22567.44521,0.737064642,9.17255,8,22192.07912,4.765316537
44,1,0,1,12597,6364,0.505199651,3.499316667,6,6269.089396,6.164296358
45,0,1,0,14144,10953.75739,0.774445517,4.917783333,8,10770.38295,4.821120391
46,1,0,1,10956,14959.92321,1.365454838,3.46765,8,13953.00163,30.46506906
47,1,1,1,8379,9168.451552,1.094217872,2.393233333,7,8745.21449,19.30510925
48,0,0,0,30323,27320.02029,0.900966932,8.5895,8,25936.85645,10.19530521
49,1,0,0,5955,8580.326795,1.440860923,2.396733333,8,8186.500478,43.31481734
50,1,0,0,8358,6024,0.72074659,2.5453,5,5924.431183,5.04636387
51,0,0,1,9582,12254.3268,1.278890294,2.731033333,8,11533.29018,30.35076363
52,0,0,0,8249,7809,0.946660201,2.332783333,5,7487.82658,23.92276863
53,1,1,1,16576,18398.39566,1.109941823,4.733566667,8,17473.03362,57.66677762
54,0,1,1,18360,26667.77991,1.452493459,5.165933333,8,24608.74353,65.10249612
55,1,1,0,20362,16124.50415,0.791891963,5.78935,7,15841.71735,6.804861406
56,0,0,1,3593,2074,0.57723351,0.997516667,2,2037.571959,4.527937687
57,1,0,0,5318,7777.746902,1.462532324,1.49855,7,7410.128857,33.0809324
58,1,0,1,5377,2906,0.540450065,1.499633333,4,2859.54176,4.553410445
59,0,0,0,10033,7734.577102,0.770913695,2.832783333,6,7617.441692,4.917651189
60,1,1,0,11990,17305.07854,1.443292622,3.332983333,8,16638.3704,43.32908957
61,1,1,0,5545,8594.278477,1.549914964,1.99965,6,8269.987705,51.68742316
62,1,1,0,10456,14071.38245,1.345771083,4.403533333,8,13018.7927,49.88043181
